var,var,var,var,var,pt2,pt2,pt2,pt2,pt2
0.001,0.0008,0.0006,0.0004,0.00025,0.001,0.0008,0.0006,0.0004,0.00025
-1601.675272,-1601.676565,-1601.678059,-1601.67998,-1601.68221,-1601.688714,-1601.68921,-1601.689755,-1601.690483,-1601.691277
