var,	var	,var,	var,	var,	var,	pt2,	pt2,	pt2,	pt2,	pt2,	pt2
0.001,	0.0008,	0.0006,	0.0004,	0.00025,	0.00015,	0.001,	0.0008,	0.0006,	0.0004,	0.00025,	0.00015
-1601.674941,	-1601.676431,	-1601.678,	-1601.680111,	-1601.682197,	-1601.684394,	-1601.68853,	-1601.689036,	-1601.689652,	-1601.690472,	-1601.691343,	-1601.692184
